Date,Close
2019-12-22,42.25
2019-12-23,40.54
2019-12-24,39.95
2019-12-25,39.58
2019-12-26,40.25
2019-12-27,41.45
2019-12-28,42.65
2019-12-29,42.84
2019-12-30,42.01
2019-12-31,41.5
2020-01-01,41.09
2020-01-02,39.2
2020-01-03,42.02
2020-01-04,43.03
2020-01-05,44.36
2020-01-06,45.23
2020-01-07,47.67
2020-01-08,45.07
2020-01-09,44.49
2020-01-10,48.98
2020-01-11,50.66
2020-01-12,49.9
2020-01-13,53.82
2020-01-14,57.99
2020-01-15,55.41
2020-01-16,58.24
2020-01-17,61.28
2020-01-18,61.13
2020-01-19,56.83
2020-01-20,57.76
2020-01-21,57.14
2020-01-22,56.75
2020-01-23,52.63
2020-01-24,52.79
2020-01-25,53.78
2020-01-26,56.31
2020-01-27,60.57
2020-01-28,61.18
2020-01-29,59.22
2020-01-30,68.51
2020-01-31,72.59
2020-02-01,68.65
2020-02-02,70.95
2020-02-03,68.68
2020-02-04,68.08
2020-02-05,74
2020-02-06,74.02
2020-02-07,71.95
2020-02-08,77.64
2020-02-09,75.62
2020-02-10,72.76
2020-02-11,78.23
2020-02-12,83.08
2020-02-13,80.86
2020-02-14,81.55
2020-02-15,79.83
2020-02-16,71.07
2020-02-17,74.45
2020-02-18,77.74
2020-02-19,70.95
2020-02-20,72.31
2020-02-21,74.57
2020-02-22,75.99
2020-02-23,76.61
2020-02-24,74.49
2020-02-25,68.52
2020-02-26,60.25
2020-02-27,62.21
2020-02-28,60.26
2020-02-29,59.65
2020-03-01,57.8
2020-03-02,61.45
2020-03-03,61.16
2020-03-04,60.8
2020-03-05,61.66
2020-03-06,63.1
2020-03-07,58.84
2020-03-08,50.93
2020-03-09,50.27
2020-03-10,50.28
2020-03-11,46.11
2020-03-12,32.13
2020-03-13,37.38
2020-03-14,34.48
2020-03-15,35.69
2020-03-16,35.19
2020-03-17,34.75
2020-03-18,34.29
2020-03-19,38.61
2020-03-20,38.4
2020-03-21,39.37
2020-03-22,36.96
2020-03-23,38.95
2020-03-24,39.44
2020-03-25,39.71
2020-03-26,40.8
2020-03-27,37.19
2020-03-28,38.63
2020-03-29,37.62
2020-03-30,38.89
2020-03-31,38.81
2020-04-01,39.58
2020-04-02,40.37
2020-04-03,40.27
2020-04-04,40.68
2020-04-05,40.63
2020-04-06,45.71
2020-04-07,46.73
2020-04-08,45.9
2020-04-09,45.39
2020-04-10,42.79
2020-04-11,42.19
2020-04-12,40.09
2020-04-13,41.54
2020-04-14,41.58
2020-04-15,38.97
2020-04-16,42.39
2020-04-17,42.65
2020-04-18,44.09
2020-04-19,42.99
2020-04-20,40.38
2020-04-21,40.72
2020-04-22,41.5
2020-04-23,43.54
2020-04-24,44.81
2020-04-25,44.8
2020-04-26,44.89
2020-04-27,43.98
2020-04-28,46.02
2020-04-29,50.7
2020-04-30,46.82
2020-05-01,47.4
2020-05-02,49.85
2020-05-03,46.76
2020-05-04,46.91
2020-05-05,46.66
2020-05-06,45.85
2020-05-07,47.49
2020-05-08,48.61
2020-05-09,42.11
2020-05-10,41.9
2020-05-11,41.84
2020-05-12,42.45
2020-05-13,43.07
2020-05-14,43.19
2020-05-15,43.41
2020-05-16,43.57
2020-05-17,45.7
2020-05-18,44.18
2020-05-19,45.73
2020-05-20,44.15
2020-05-21,42.42
2020-05-22,44.47
2020-05-23,44.28
2020-05-24,42.66
2020-05-25,42.89
2020-05-26,42.48
2020-05-27,43.77
2020-05-28,44.9
2020-05-29,44.45
2020-05-30,46.41
2020-05-31,46.24
2020-06-01,48.62
2020-06-02,45.93
2020-06-03,48.04
2020-06-04,47.38
2020-06-05,46.57
2020-06-06,46.78
2020-06-07,46.71
2020-06-08,46
2020-06-09,45.92
2020-06-10,46.61
2020-06-11,43.69
2020-06-12,44.41
2020-06-13,44.68
2020-06-14,43.02
